accession_id,cofactor_names,has_covalent,has_divalent
O50146,[],False,False
O50147,[],False,False
O87198,"['Mg(2+)', 'Mn(2+)']",False,True
P34945,[],False,False
P61488,[],False,False
Q72IB8,['FAD'],True,False
Q72IW9,['Mg(2+)'],False,True
Q72J02,['Zn(2+)'],False,True
Q72JC0,[],False,False
Q72LF3,"['[4Fe-4S] cluster', 'Mg(2+)']",True,True
Q72LF4,[],False,False
Q72LL6,"[""pyridoxal 5'-phosphate""]",True,False
Q746I8,"['FMN', 'NADPH', 'Mg(2+)']",True,True
P61490,[],False,False
P96134,[],False,False
P96495,"['Mg(2+)', 'Mn(2+)']",False,True
Q72GI1,[],False,False
Q72GZ0,[],False,False
Q72H00,"['Mg(2+)', 'Co(2+)']",False,True
Q72H18,['[4Fe-4S] cluster'],True,False
Q72H90,[],False,False
Q72H98,['Mg(2+)'],False,True
Q72HC1,['[4Fe-4S] cluster'],True,False
Q72I42,['Mg(2+)'],False,True
Q72I58,['Mg(2+)'],False,True
Q72ID7,"['FMN', 'Mg(2+)']",True,True
Q72IH5,[],False,False
Q72IN0,[],False,False
Q72IV4,"['K(+)', 'Mg(2+)']",True,True
Q72J47,[],False,False
Q72JC8,['Mg(2+)'],False,True
Q72JJ7,['Zn(2+)'],False,True
Q72JS1,"['Mg(2+)', 'Mn(2+)', 'Mn(2+)', 'Zn(2+)']",False,True
Q72JT8,[],False,False
Q72K04,[],False,False
Q72L83,[],False,False
Q72LP1,['Mg(2+)'],False,True
Q8GBB2,[],False,False
Q8VUS5,"['Zn(2+)', 'Co(2+)']",False,True
Q93R93,"[""pyridoxal 5'-phosphate""]",True,False
Q9ZND9,[],False,False
Q9ZNE0,['[4Fe-4S] cluster'],True,False
O66271,[],False,False
P16609,"[""pyridoxal 5'-phosphate""]",True,False
P54903,[],False,False
P61492,[],False,False
P61494,"['Mg(2+)', 'Mn(2+)']",False,True
P61498,['Mg(2+)'],False,True
P61502,['Mn(2+)'],False,True
P61526,[],False,False
P61537,[],False,False
P61707,['Zn(2+)'],False,True
P61747,[],False,False
P61781,[],False,False
P61941,[],False,False
P62030,"[""pyridoxal 5'-phosphate""]",True,False
P62055,[],False,False
P62238,[],False,False
P62350,[],False,False
P62420,[],False,False
P62453,[],False,False
P62460,['Zn(2+)'],False,True
P62652,[],False,False
P62654,[],False,False
P62655,[],False,False
P62656,['Zn(2+)'],False,True
P62663,[],False,False
P62664,['Zn(2+)'],False,True
P62665,[],False,False
P83453,[],False,False
P96136,[],False,False
P96137,[],False,False
Q60050,[],False,False
Q72G65,['[4Fe-4S] cluster'],True,False
Q72G66,['FMN'],True,False
Q72G72,[],False,False
Q72GB7,[],False,False
Q72GC9,['[4Fe-4S] cluster'],True,False
Q72GD6,['[4Fe-4S] cluster'],True,False
Q72GE4,['Mg(2+)'],False,True
Q72GF0,"['Co(2+)', 'Fe(2+)', 'Mn(2+)', 'Zn(2+)', 'a divalent metal cation']",True,True
Q72GH8,"[""pyridoxal 5'-phosphate""]",True,False
Q72GI4,[],False,False
Q72GJ4,[],False,False
Q72GL2,[],False,False
Q72GM3,['Zn(2+)'],False,True
Q72GN2,[],False,False
Q72GN6,['Zn(2+)'],False,True
Q72GQ0,['Mg(2+)'],False,True
Q72GT2,['Mg(2+)'],False,True
Q72GT4,['Mg(2+)'],False,True
Q72GU1,"['thiamine diphosphate', 'Mg(2+)']",True,True
Q72GV1,['[4Fe-4S] cluster'],True,False
Q72GV2,[],False,False
Q72GV9,[],False,False
Q72GW4,[],False,False
Q72GW9,['Mn(2+)'],False,True
Q72GX1,[],False,False
Q72GX5,[],False,False
Q72GY6,[],False,False
Q72GY7,['Mn(2+)'],False,True
Q72H19,['Zn(2+)'],False,True
Q72H36,['Mn(2+)'],False,True
Q72H57,['dipyrromethane'],True,False
Q72H70,['a divalent metal cation'],True,False
Q72H85,['Mg(2+)'],False,True
Q72H87,[],False,False
Q72H91,[],False,False
Q72HA0,['Mg(2+)'],False,True
Q72HA1,['Mg(2+)'],False,True
Q72HA9,[],False,False
Q72HF4,[],False,False
Q72HF6,[],False,False
Q72HH0,[],False,False
Q72HH1,['Zn(2+)'],False,True
Q72HM6,"['Mg(2+)', 'Zn(2+)']",False,True
Q72HP1,[],False,False
Q72HP3,[],False,False
Q72HP8,['a divalent metal cation'],True,False
Q72HR4,['Mg(2+)'],False,True
Q72HS0,[],False,False
Q72HS7,['Zn(2+)'],False,True
Q72HS8,[],False,False
Q72HY0,['Fe-coproporphyrin III'],True,False
Q72I05,[],False,False
Q72I07,[],False,False
Q72I15,[],False,False
Q72I23,[],False,False
Q72I25,[],False,False
Q72I26,"['Co(2+)', 'Zn(2+)', 'Mn(2+)', 'Fe(2+)']",False,True
Q72I32,[],False,False
Q72I50,[],False,False
Q72I53,"['Mg(2+)', 'K(+)']",True,True
Q72I55,"['Mg(2+)', ""pyridoxal 5'-phosphate""]",True,True
Q72IA8,[],False,False
Q72IA9,"['Mg(2+)', 'Mn(2+)']",False,True
Q72IB0,"['Mg(2+)', 'Mn(2+)', 'Ca(2+)']",False,True
Q72IE5,[],False,False
Q72IE8,['Mg(2+)'],False,True
Q72IG0,"['Mg(2+)', 'Mn(2+)']",False,True
Q72IG5,[],False,False
Q72IH2,"[""pyridoxal 5'-phosphate""]",True,False
