proteinid,pI_x,packing_density,cofactor_names,has_covalent,has_divalent,Disorderfraction,sigpeptides100,validpeptides100,sigpeptides50,validpeptides50,fragile100,fragile50,fracperturbed100,fracperturbed50,cofactors
O50146,7.792245292663574,0.732,[],False,False,0.0,0,26,0.0,22.0,False,False,0.0,0.0,neither
O50147,8.50081729888916,0.731,[],False,False,0.0,0,14,0.0,12.0,False,False,0.0,0.0,neither
O87198,5.815788459777832,0.733,"['Mg(2+)', 'Mn(2+)']",False,True,0.0026595744680851,5,31,0.0,33.0,True,False,0.16129032258064516,0.0,divalent
P34945,6.169440650939941,0.742,[],False,False,0.0,0,25,0.0,23.0,False,False,0.0,0.0,neither
P61488,5.710863685607911,0.734,[],False,False,0.0,10,41,0.0,41.0,True,False,0.24390243902439024,0.0,neither
Q72IB8,9.041707038879396,0.739,['FAD'],True,False,0.003257328990228,0,2,0.0,2.0,False,False,0.0,0.0,covalent
Q72IW9,5.710067939758301,0.732,['Mg(2+)'],False,True,0.0,42,74,52.0,68.0,True,True,0.5675675675675675,0.7647058823529411,divalent
Q72J02,7.003893852233887,0.739,['Zn(2+)'],False,True,0.0,0,9,0.0,7.0,False,False,0.0,0.0,divalent
Q72JC0,8.618085289001467,0.779,[],False,False,0.0,0,9,1.0,9.0,False,False,0.0,0.1111111111111111,neither
Q72LF3,9.330783271789551,0.747,"['[4Fe-4S] cluster', 'Mg(2+)']",True,True,0.0,0,2,0.0,2.0,False,False,0.0,0.0,both
Q72LF4,4.524065589904786,0.755,[],False,False,0.0,2,4,0.0,1.0,True,False,0.5,0.0,neither
Q72LL6,8.580177879333494,0.729,"[""pyridoxal 5'-phosphate""]",True,False,0.0,0,31,0.0,33.0,False,False,0.0,0.0,covalent
Q746I8,6.576862525939942,0.732,"['FMN', 'NADPH', 'Mg(2+)']",True,True,0.0,0,2,0.0,1.0,False,False,0.0,0.0,both
P61490,5.164072608947753,0.74,[],False,False,0.0276243093922651,113,208,1.0,181.0,True,False,0.5432692307692307,0.0055248618784530384,neither
P96134,6.849575996398925,0.729,[],False,False,0.0099667774086378,0,4,0.0,5.0,False,False,0.0,0.0,neither
P96495,5.192492103576659,0.711,"['Mg(2+)', 'Mn(2+)']",False,True,0.0029182879377431,23,55,2.0,41.0,True,True,0.41818181818181815,0.04878048780487805,divalent
Q72GI1,9.294358634948727,0.75,[],False,False,0.0,0,3,0.0,3.0,False,False,0.0,0.0,neither
Q72GZ0,6.550261878967285,0.722,[],False,False,0.0051150895140664,0,11,0.0,11.0,False,False,0.0,0.0,neither
Q72H00,5.472367286682128,0.738,"['Mg(2+)', 'Co(2+)']",False,True,0.0,1,18,0.0,17.0,False,False,0.05555555555555555,0.0,divalent
Q72H18,6.827465629577637,0.738,['[4Fe-4S] cluster'],True,False,0.0049261083743842,1,41,0.0,37.0,False,False,0.024390243902439025,0.0,covalent
Q72H90,7.037315177917479,0.731,[],False,False,0.0080321285140562,1,13,0.0,10.0,False,False,0.07692307692307693,0.0,neither
Q72H98,5.779923057556151,0.733,['Mg(2+)'],False,True,0.0,6,20,2.0,21.0,True,True,0.3,0.09523809523809523,divalent
Q72HC1,9.681426811218262,0.723,['[4Fe-4S] cluster'],True,False,0.0422535211267605,3,9,0.0,8.0,True,False,0.3333333333333333,0.0,covalent
Q72I42,6.37110538482666,0.752,['Mg(2+)'],False,True,0.0144927536231884,16,17,1.0,8.0,True,False,0.9411764705882353,0.125,divalent
Q72I58,5.921338462829589,0.728,['Mg(2+)'],False,True,0.0,0,46,0.0,43.0,False,False,0.0,0.0,divalent
Q72ID7,7.937363624572754,0.738,"['FMN', 'Mg(2+)']",True,True,0.0101010101010101,2,17,0.0,17.0,True,False,0.11764705882352941,0.0,both
Q72IH5,10.19852771759033,0.736,[],False,False,0.0029850746268656,0,1,0.0,1.0,False,False,0.0,0.0,neither
Q72IN0,6.353883171081542,0.728,[],False,False,0.0254545454545454,0,23,0.0,22.0,False,False,0.0,0.0,neither
Q72IV4,6.4061182022094725,0.73,"['K(+)', 'Mg(2+)']",True,True,0.0041493775933609,0,11,0.0,10.0,False,False,0.0,0.0,both
Q72J47,5.05943202972412,0.742,[],False,False,0.0044052863436123,12,16,0.0,13.0,True,False,0.75,0.0,neither
Q72JC8,6.185128211975097,0.756,['Mg(2+)'],False,True,0.0029673590504451,12,43,0.0,39.0,True,False,0.27906976744186046,0.0,divalent
Q72JJ7,8.835666084289553,0.732,['Zn(2+)'],False,True,0.031413612565445,1,15,0.0,15.0,False,False,0.06666666666666667,0.0,divalent
Q72JS1,6.00654010772705,0.736,"['Mg(2+)', 'Mn(2+)', 'Mn(2+)', 'Zn(2+)']",False,True,0.0,1,14,0.0,12.0,False,False,0.07142857142857142,0.0,divalent
Q72JT8,4.782285118103027,0.767,[],False,False,0.0,24,26,10.0,24.0,True,True,0.9230769230769231,0.4166666666666667,neither
Q72K04,5.988522148132325,0.725,[],False,False,0.0,0,9,0.0,7.0,False,False,0.0,0.0,neither
Q72L83,5.970163154602051,0.731,[],False,False,0.0,0,37,0.0,34.0,False,False,0.0,0.0,neither
Q72LP1,6.923694038391113,0.741,['Mg(2+)'],False,True,0.0,2,24,0.0,28.0,True,False,0.08333333333333333,0.0,divalent
Q8GBB2,7.266603660583496,0.741,[],False,False,0.0039215686274509,2,3,0.0,2.0,True,False,0.6666666666666666,0.0,neither
Q8VUS5,6.5174657821655275,0.74,"['Zn(2+)', 'Co(2+)']",False,True,0.0193905817174515,0,20,0.0,19.0,False,False,0.0,0.0,divalent
Q93R93,6.656607627868653,0.738,"[""pyridoxal 5'-phosphate""]",True,False,0.0,1,51,2.0,49.0,False,True,0.0196078431372549,0.04081632653061224,covalent
Q9ZND9,5.347946739196778,0.744,[],False,False,0.0,0,1,0.0,1.0,False,False,0.0,0.0,neither
Q9ZNE0,5.715012931823731,0.725,['[4Fe-4S] cluster'],True,False,0.0,3,33,0.0,33.0,True,False,0.09090909090909091,0.0,covalent
O66271,6.299033546447753,0.742,[],False,False,0.0021459227467811,1,19,4.0,20.0,False,True,0.05263157894736842,0.2,neither
P16609,5.982269859313964,0.721,"[""pyridoxal 5'-phosphate""]",True,False,0.0,0,37,0.0,37.0,False,False,0.0,0.0,covalent
P54903,6.116921424865722,0.737,[],False,False,0.0048426150121065,0,19,0.0,20.0,False,False,0.0,0.0,neither
P61492,5.268372154235839,0.772,[],False,False,0.0594059405940594,0,40,0.0,40.0,False,False,0.0,0.0,neither
P61494,5.373240089416504,0.733,"['Mg(2+)', 'Mn(2+)']",False,True,0.0,0,52,0.0,43.0,False,False,0.0,0.0,divalent
P61498,5.682216835021973,0.749,['Mg(2+)'],False,True,0.0,12,12,0.0,8.0,True,False,1.0,0.0,divalent
P61502,6.403389930725097,0.739,['Mn(2+)'],False,True,0.0,5,33,0.0,34.0,True,False,0.15151515151515152,0.0,divalent
P61526,5.56143398284912,0.743,[],False,False,0.0025,0,28,0.0,28.0,False,False,0.0,0.0,neither
P61537,6.747606849670411,0.746,[],False,False,0.0267857142857142,1,13,0.0,13.0,False,False,0.07692307692307693,0.0,neither
P61707,5.556830024719238,0.741,['Zn(2+)'],False,True,0.0204081632653061,0,59,0.0,46.0,False,False,0.0,0.0,divalent
P61747,7.006735801696778,0.731,[],False,False,0.0,0,11,1.0,11.0,False,False,0.0,0.09090909090909091,neither
P61781,8.687517738342287,0.732,[],False,False,0.0,1,9,0.0,9.0,False,False,0.1111111111111111,0.0,neither
P61941,11.013279151916509,0.773,[],False,False,0.0075757575757575,1,7,0.0,8.0,False,False,0.14285714285714285,0.0,neither
P62030,8.27182559967041,0.743,"[""pyridoxal 5'-phosphate""]",True,False,0.0,23,45,0.0,31.0,True,False,0.5111111111111111,0.0,covalent
P62055,5.931683158874511,0.74,[],False,False,0.0,4,28,0.0,33.0,True,False,0.14285714285714285,0.0,neither
P62238,10.577666282653803,0.764,[],False,False,0.034090909090909,2,7,2.0,7.0,True,True,0.2857142857142857,0.2857142857142857,neither
P62350,6.004266548156737,0.771,[],False,False,0.0186915887850467,9,24,7.0,23.0,True,True,0.375,0.30434782608695654,neither
P62420,5.727403831481935,0.729,[],False,False,0.0,0,30,1.0,34.0,False,False,0.0,0.029411764705882353,neither
P62453,5.451223182678221,0.728,[],False,False,0.0039682539682539,4,4,4.0,4.0,True,True,1.0,1.0,neither
P62460,5.120079231262206,0.744,['Zn(2+)'],False,True,0.0,29,54,0.0,38.0,True,False,0.5370370370370371,0.0,divalent
P62652,9.897395896911618,0.815,[],False,False,0.0,4,20,0.0,14.0,True,False,0.2,0.0,neither
P62654,10.354218864440917,0.77,[],False,False,0.0,14,20,4.0,15.0,True,True,0.7,0.26666666666666666,neither
P62655,11.103148078918457,0.77,[],False,False,0.0,5,18,0.0,13.0,True,False,0.2777777777777778,0.0,neither
P62656,11.43090534210205,0.802,['Zn(2+)'],False,True,0.0,0,2,0.0,2.0,False,False,0.0,0.0,divalent
P62663,10.722526741027831,0.755,[],False,False,0.0585774058577405,1,30,1.0,23.0,False,False,0.03333333333333333,0.043478260869565216,neither
