Accession,Disorderfraction
Q72GG0,0.0
Q72HF5,0.1160337552742616
Q72KM2,0.12195121951219512
Q72KY0,0.010958904109589041
Q72K87,0.0
Q72HA8,0.0
Q72IA8,0.0
Q72GS2,0.184
Q72GU1,0.008174386920980926
Q745Y2,0.048223350253807105
Q72H53,0.006097560975609756
Q72IT4,0.0528169014084507
P62653,0.01904761904761905
Q72I53,0.0
Q72KK1,0.6470588235294118
Q72HS9,0.04904051172707889
Q72J99,0.009900990099009901
Q72IS9,0.0
P61977,0.0
Q72GA3,0.0
Q72GF2,0.006144393241167435
Q72KL0,0.011673151750972763
Q72IG7,0.0
Q72HG7,0.003484320557491289
Q72I22,0.0
Q72KX2,0.043478260869565216
Q72J95,0.004629629629629629
Q72JX2,0.05278592375366569
Q72I41,0.00641025641025641
Q72HU6,0.0
Q72KJ3,0.013333333333333334
Q72HA4,0.0
Q72JJ3,0.0
Q72ID1,0.0
P61492,0.0594059405940594
P62669,0.0
Q72GE4,0.0
Q72H69,0.0
Q72I14,0.0
Q72GB9,0.0
Q72IP3,0.004310344827586207
Q72HP3,0.0
Q72L91,0.0
Q746P1,0.0
Q72I77,0.0
Q72H77,0.023809523809523808
Q72GW5,0.0
Q72G62,0.006060606060606061
Q72JN8,0.0
Q9ACJ8,0.011695906432748537
Q72LL4,0.0
Q72HB2,0.0
Q72JN4,0.04830917874396135
Q72HE3,0.0
Q72GW9,0.1180952380952381
Q72IE3,0.0
Q72GD6,0.01098901098901099
Q72JI9,0.0
Q72KI9,0.0
Q72HQ1,0.01834862385321101
P83453,0.006944444444444444
Q72H06,0.01282051282051282
Q72JZ6,0.003115264797507788
Q72IQ1,0.003067484662576687
Q72I06,0.0
Q72KZ6,0.01
Q72H65,0.0
Q72HW2,0.05194805194805195
Q745Z4,0.05246913580246913
P96076,0.0
Q72GE8,0.0
P62665,0.018518518518518517
Q72IW2,0.010869565217391304
Q72L83,0.0
Q72G70,0.03139013452914798
Q72GV7,0.13307984790874525
Q72H18,0.0049261083743842365
P61941,0.007575757575757576
Q72HC0,0.0
Q72JH7,0.004098360655737705
Q72IC0,0.002386634844868735
Q72J78,0.0024813895781637717
Q72KE0,0.0
Q72IN7,0.003257328990228013
Q72IZ5,0.0
Q746I8,0.0
Q72J66,0.0
Q72KW1,0.03816793893129771
Q72L37,0.0
Q72HH4,0.026041666666666668
Q72LF2,0.0
Q72GI1,0.0
Q72GN0,0.006097560975609756
Q746I4,0.0028653295128939827
P61526,0.0025
Q72KD2,0.02459016393442623
Q72J17,0.07427536231884058
Q72IH8,0.0
Q746N9,0.005571030640668524
Q72GZ2,0.034482758620689655
Q72L25,0.0026455026455026454
Q72K74,0.0
Q72J74,0.06278026905829596
Q72KB1,0.0034662045060658577
Q72II6,0.016042780748663103
Q72JB1,0.0
Q72HI6,0.0
Q72L58,0.0
Q72GH3,0.1423728813559322
Q72KG4,0.002583979328165375
Q72LB5,0.001736111111111111
Q72IL3,0.0043859649122807015
Q72JG4,0.001221001221001221
Q72HL3,0.04219409282700422
Q72GM6,0.031055900621118012
Q72GY4,0.0
Q72LE8,0.004273504273504274
Q72K21,0.023076923076923078
Q72L70,0.04257907542579075
Q72I96,0.0
Q72H96,0.08536585365853659
Q72JS6,0.016666666666666666
Q72KU5,0.0
P62442,0.02040816326530612
Q72L13,0.001976284584980237
Q72J42,0.0
Q72KR8,0.016853932584269662
Q72H88,0.0016750418760469012
Q72JR8,0.023474178403755867
Q745T9,0.0
Q72LD6,0.0
Q746L1,0.0069605568445475635
Q72HM1,0.029616724738675958
Q72JF6,0.062111801242236024
Q72LC7,0.1038961038961039
P61502,0.0
Q72KF6,0.0036900369003690036
Q72JU9,0.02054794520547945
Q72GL4,0.004934210526315789
Q72H84,0.004219409282700422
Q72HY3,0.0
Q72J33,0.005319148936170213
Q745T5,0.002932551319648094
Q72L62,0.0
Q72K33,0.0
Q72J50,0.05011389521640091
Q72JT7,0.016666666666666666
Q72L01,0.019230769230769232
Q72K50,0.0
Q72LQ6,0.01171875
Q72LB9,0.05
Q72KG8,0.0
Q72GJ7,0.00909090909090909
Q72HK2,0.006896551724137931
Q72GY8,0.0
Q72LE4,0.0
Q72L27,0.01107011070110701
P62476,0.007017543859649123
Q72K76,0.04
Q72KV1,0.03169014084507042
Q72JV1,0.0
Q72IN9,0.1411042944785276
Q72GH1,0.03746654772524532
Q72LG2,0.0
Q72KB3,0.009079118028534372
Q72JB3,0.00423728813559322
Q72JD0,0.0
Q72GN2,0.025454545454545455
Q72L39,0.0
Q72GZ0,0.005115089514066497
Q72KP2,0.6473429951690821
Q72JP2,0.0
Q72J15,0.028423772609819122
Q72J64,0.0
Q72L35,0.0
Q72J19,0.09333333333333334
Q72HH6,0.0
Q72IH6,0.01511879049676026
Q746N7,0.0
Q72LF0,0.01606425702811245
Q72JE2,0.0
Q72HN5,0.0125
Q72KE2,0.0
Q72IN5,0.007936507936507936
